26365, 1234, Casing and Rods, NW Casing > Casing - 10 New, 5, 101.36, new
26366, 1234, Casing and Rods, NW Casing > Casing - 5 New, 0, 64.44, new
26368, 1234, Casing and Rods, NW Casing > Casing - 2 New, 0, 39.36, new
26365, 1234, Casing and Rods, NW Casing used > Casing - 10 Used, 28, 101.36, used
26366, 1234, Casing and Rods, NW Casing used > Casing - 5 Used, 2, 64.44, used
26368, 1234, Casing and Rods, NW Casing used > Casing - 2 Used, 4, 39.36, used
3541556, 1234, Casing and Rods, NRQHP > Drill Rod - 10 New, 0, 98.17, new
3541556, 1234, Casing and Rods, NRQHP > used Drill Rod - 10 Used, 119, 98.17, used
26371, 1234, Casing and Rods, HW Casing > Casing - 5 New, 47, 165.00, new
26371, 1234, Casing and Rods, HW Casing used > Casing - 5 Used, 0, 85.25, used
26373, 1234, Casing and Rods, HW Casing > Casing - 2 New, 0, 0.00, new
26373, 1234, Casing and Rods, HW Casing used > Casing - 2 Used, 0, 47.00, used
306243, 1234, Casing and Rods, HRQHP > used Drill Rod - 3M Used, 52, 90.67, used
3541558, 1234, Casing and Rods, HRQHP > used Drill Rod - 10 Used, 44, 98.17, used
3541558, 1234, Casing and Rods, HRQHP > Drill Rod - 10 New, 0, 223.44, new
0, 1234, Casing and Rods, NRQ > Drill Rod 10 New, 9, 98.17, new
00000, 1234, Casing and Rods, NRQ > Drill Rod  10 Used, 105, 98.17, used
15141, 1234, NQ Wireline, NQ > Compression spring, 8, 2.08, new
15965, 1234, NQ Wireline, NQ > Locking Sleeve Dry hole release, 3, 60.48, new
17447, 1234, NQ Wireline, NQ > Hyd grease fitting, 0, 1.83, new
18298, 1234, NQ Wireline, NQ > Hanger bearing, 11, 14.71, new
22918, 1234, NQ Wireline, NQ > Stover lock nut, 9, 2.08, new
24305, 1234, NQ Wireline, NQ > Spring pin 1/2 X 2, 21, 1.60, new
24312, 1234, NQ Wireline, NQ > Thrust bearing, 6, 15.49, new
24313, 1234, NQ Wireline, NQ > Compression spring, 12, 12.88, new
24548, 1234, NQ Wireline, NQ > Spring pin 1/2 X 1-1/2, 42, 2.28, new
24885, 1234, NQ Wireline, NQ > Hex nut, 8, 3.40, new
24886, 1234, NQ Wireline, NQ > Spindle, 1, 44.75, new
24887, 1234, NQ Wireline, NQ > Shut off valve Black (soft), 36, 5.08, new
24888, 1234, NQ Wireline, NQ > Valve adjusting washer, 11, 1.63, new
24889, 1234, NQ Wireline, NQ > Spindle bearing, 8, 21.26, new
24891, 1234, NQ Wireline, NQ > Inner tubes 10 Standard, 5, 48.11, new
24892, 1234, NQ Wireline, NQ > Core Lifter Case, 24, 13.44, new
24893, 1234, NQ Wireline, NQ > Stop Ring, 36, 4.37, new
24896, 1234, NQ Wireline, NQ > Adapter Coupling, 1, 36.18, new
